17-34, Private, Some-college, Machine-op-inspct, Amer-Indian-Eskimo, Male,20-39, <=50K
50-65, Private, Masters, Exec-managerial, White, Male,60-79, >50K
17-34, Private, Doctorate, Prof-specialty, White, Male,80+, >50K
17-34, Private, Assoc-voc, Sales, White, Male,40-59, >50K
35-49, Local-gov, Masters, Exec-managerial, White, Male,60-79, >50K
35-49, Private, HS-grad, Adm-clerical, White, Male,40-59, <=50K
50-65, Private, Prof-school, Exec-managerial, White, Male,20-39, <=50K
35-49, Federal-gov, HS-grad, Adm-clerical, White, Male,20-39, <=50K
50-65, Local-gov, Masters, Prof-specialty, White, Male,40-59, >50K
50-65, Private, HS-grad, Sales, White, Male,40-59, <=50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
35-49, Private, HS-grad, Machine-op-inspct, White, Male,80+, <=50K
65+, Private, Some-college, Prof-specialty, White, Male,40-59, >50K
17-34, Private, Some-college, Sales, White, Male,40-59, >50K
50-65, Self-emp-not-inc, Bachelors, Sales, White, Male,20-39, >50K
50-65, Private, Masters, Prof-specialty, White, Male,40-59, >50K
50-65, Private, HS-grad, Transport-moving, White, Male,60-79, >50K
17-34, Local-gov, Assoc-voc, Prof-specialty, White, Male,60-79, <=50K
50-65, Private, HS-grad, Exec-managerial, White, Male,60-79, >50K
50-65, Private, 11th, Sales, White, Male,40-59, <=50K
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
50-65, Private, 7th-8th, Transport-moving, White, Male,20-39, <=50K
35-49, Self-emp-not-inc, HS-grad, Transport-moving, White, Male,20-39, <=50K
50-65, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
50-65, Private, HS-grad, Transport-moving, White, Male,40-59, >50K
50-65, Private, Some-college, Tech-support, White, Male,40-59, >50K
35-49, Private, Assoc-voc, Craft-repair, White, Male,40-59, >50K
17-34, Private, Assoc-voc, Craft-repair, White, Male,40-59, <=50K
17-34, Private, Some-college, Exec-managerial, White, Male,60-79, >50K
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
50-65, Private, HS-grad, Sales, White, Male,20-39, <=50K
35-49, State-gov, Assoc-voc, Protective-serv, White, Male,40-59, >50K
17-34, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K
17-34, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
35-49, Self-emp-not-inc, HS-grad, Farming-fishing, White, Male,60-79, <=50K
50-65, Self-emp-not-inc, HS-grad, Craft-repair, White, Male,40-59, >50K
17-34, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K
50-65, Self-emp-not-inc, Some-college, Sales, White, Male,40-59, <=50K
50-65, Self-emp-inc, Bachelors, Sales, White, Male,60-79, >50K
35-49, Local-gov, Bachelors, Prof-specialty, White, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
35-49, Local-gov, Prof-school, Prof-specialty, White, Male,20-39, <=50K
50-65, Self-emp-inc, HS-grad, Sales, White, Male,40-59, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
35-49, Private, HS-grad, Transport-moving, White, Male,40-59, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
35-49, Self-emp-not-inc, Masters, Craft-repair, White, Male,40-59, >50K
65+, Private, Prof-school, Prof-specialty, White, Male,20-39, >50K
50-65, Self-emp-not-inc, 10th, Farming-fishing, White, Male,40-59, <=50K
35-49, Private, HS-grad, Handlers-cleaners, White, Male,20-39, <=50K
50-65, Private, 10th, Machine-op-inspct, White, Male,40-59, <=50K
35-49, Private, HS-grad, Transport-moving, White, Male,60-79, <=50K
17-34, Self-emp-inc, HS-grad, Exec-managerial, White, Male,60-79, >50K
35-49, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
50-65, Private, HS-grad, Transport-moving, White, Male,40-59, >50K
35-49, Local-gov, HS-grad, Protective-serv, White, Male,60-79, >50K
35-49, Private, Masters, Exec-managerial, White, Male,60-79, >50K
35-49, Private, Masters, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Bachelors, Craft-repair, White, Male,40-59, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K
35-49, Private, HS-grad, Sales, White, Male,40-59, >50K
35-49, Private, Bachelors, Exec-managerial, White, Male,60-79, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, White, Male,60-79, >50K
35-49, Self-emp-inc, Bachelors, Exec-managerial, White, Male,20-39, >50K
50-65, Self-emp-not-inc, HS-grad, Farming-fishing, White, Male,20-39, <=50K
50-65, Self-emp-not-inc, Some-college, Exec-managerial, White, Male,40-59, <=50K
17-34, Local-gov, Bachelors, Protective-serv, White, Male,80+, >50K
17-34, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
17-34, Private, Prof-school, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
17-34, Private, Bachelors, Tech-support, White, Male,40-59, <=50K
35-49, Self-emp-inc, Bachelors, Farming-fishing, White, Male,60-79, >50K
35-49, Self-emp-not-inc, Bachelors, Farming-fishing, White, Male,60-79, <=50K
50-65, Self-emp-not-inc, Some-college, Farming-fishing, White, Male,60-79, <=50K
50-65, Local-gov, HS-grad, Protective-serv, White, Male,40-59, <=50K
17-34, Private, Some-college, Craft-repair, White, Male,40-59, >50K
17-34, Self-emp-not-inc, Some-college, Prof-specialty, White, Male,0-19, <=50K
35-49, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
17-34, Federal-gov, Prof-school, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Bachelors, Craft-repair, White, Male,40-59, >50K
17-34, Private, Assoc-voc, Craft-repair, White, Male,20-39, <=50K
17-34, Private, HS-grad, Sales, White, Male,40-59, <=50K
17-34, Private, 12th, Craft-repair, White, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
17-34, Private, Some-college, Sales, White, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
17-34, Private, Some-college, Adm-clerical, White, Male,20-39, <=50K
17-34, State-gov, Bachelors, Prof-specialty, White, Male,40-59, >50K
35-49, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
50-65, Private, HS-grad, Exec-managerial, White, Male,40-59, <=50K
50-65, Self-emp-not-inc, Prof-school, Prof-specialty, White, Male,40-59, >50K
35-49, Local-gov, Masters, Prof-specialty, White, Male,20-39, >50K
35-49, Private, Bachelors, Tech-support, White, Male,40-59, >50K
17-34, Private, HS-grad, Sales, White, Male,40-59, >50K
17-34, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K
17-34, Self-emp-inc, HS-grad, Craft-repair, White, Male,40-59, <=50K
50-65, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
50-65, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K
17-34, Private, Some-college, Handlers-cleaners, White, Male,40-59, <=50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
35-49, Self-emp-inc, Bachelors, Machine-op-inspct, White, Male,60-79, >50K
35-49, Private, Some-college, Sales, White, Male,20-39, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
35-49, Private, Bachelors, Sales, White, Male,40-59, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
35-49, Local-gov, Bachelors, Prof-specialty, White, Male,40-59, >50K
35-49, Private, 7th-8th, Transport-moving, White, Male,40-59, <=50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
35-49, Private, Some-college, Exec-managerial, White, Male,40-59, >50K
35-49, Private, Some-college, Exec-managerial, White, Male,60-79, <=50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
17-34, Private, Some-college, Prof-specialty, White, Male,40-59, <=50K
17-34, Private, HS-grad, Sales, White, Male,40-59, <=50K
50-65, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
50-65, Self-emp-not-inc, Doctorate, Exec-managerial, White, Male,20-39, >50K
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
17-34, Local-gov, HS-grad, Craft-repair, White, Male,40-59, <=50K
17-34, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
50-65, Private, Bachelors, Machine-op-inspct, White, Male,40-59, >50K
35-49, Private, Prof-school, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Assoc-acdm, Craft-repair, White, Male,40-59, <=50K
65+, Private, 7th-8th, Craft-repair, White, Male,20-39, <=50K
35-49, Private, Bachelors, Adm-clerical, White, Male,40-59, <=50K
35-49, Private, Masters, Prof-specialty, White, Male,40-59, >50K
35-49, Self-emp-not-inc, HS-grad, Craft-repair, White, Male,20-39, <=50K
35-49, Private, Some-college, Exec-managerial, White, Male,40-59, >50K
35-49, Private, HS-grad, Sales, White, Male,40-59, <=50K
35-49, Self-emp-inc, HS-grad, Sales, White, Male,60-79, >50K
35-49, Self-emp-inc, Assoc-acdm, Exec-managerial, White, Male,40-59, <=50K
35-49, Self-emp-not-inc, Prof-school, Prof-specialty, White, Male,40-59, >50K
17-34, Private, Bachelors, Sales, White, Male,40-59, <=50K
17-34, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
35-49, Local-gov, Bachelors, Prof-specialty, White, Male,60-79, >50K
35-49, State-gov, Bachelors, Adm-clerical, White, Male,40-59, <=50K
65+, Self-emp-not-inc, Some-college, Craft-repair, White, Male,20-39, <=50K
50-65, Private, Assoc-voc, Craft-repair, White, Male,40-59, <=50K
50-65, Private, Some-college, Machine-op-inspct, White, Male,40-59, <=50K
35-49, Self-emp-not-inc, 11th, Transport-moving, White, Male,40-59, <=50K
50-65, Private, Masters, Prof-specialty, White, Male,40-59, >50K
35-49, Self-emp-inc, HS-grad, Exec-managerial, White, Male,40-59, >50K
17-34, Private, HS-grad, Handlers-cleaners, White, Male,40-59, >50K
17-34, Private, Some-college, Transport-moving, White, Male,40-59, >50K
35-49, Local-gov, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K
35-49, Private, Masters, Prof-specialty, White, Male,60-79, >50K
35-49, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Some-college, Transport-moving, White, Male,40-59, <=50K
35-49, Self-emp-inc, HS-grad, Exec-managerial, White, Male,60-79, >50K
35-49, Self-emp-inc, Some-college, Exec-managerial, White, Male,40-59, >50K
35-49, Self-emp-inc, HS-grad, Sales, White, Male,40-59, <=50K
35-49, Self-emp-inc, Some-college, Exec-managerial, White, Male,40-59, <=50K
65+, Private, Bachelors, Other-service, White, Male,40-59, >50K
35-49, Self-emp-not-inc, Bachelors, Prof-specialty, White, Male,40-59, >50K
50-65, Federal-gov, Prof-school, Prof-specialty, White, Male,40-59, >50K
50-65, Private, Masters, Exec-managerial, White, Male,60-79, >50K
17-34, Private, HS-grad, Transport-moving, White, Male,60-79, <=50K
17-34, Self-emp-not-inc, HS-grad, Farming-fishing, White, Male,60-79, <=50K
50-65, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Some-college, Sales, White, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
35-49, Private, HS-grad, Exec-managerial, White, Male,40-59, <=50K
50-65, Private, Some-college, Prof-specialty, White, Male,40-59, >50K
50-65, Private, Assoc-acdm, Craft-repair, White, Male,40-59, <=50K
50-65, State-gov, Assoc-voc, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, >50K
35-49, Private, Prof-school, Exec-managerial, White, Male,60-79, >50K
35-49, Private, Some-college, Other-service, White, Male,20-39, <=50K
35-49, Self-emp-inc, Prof-school, Prof-specialty, White, Male,20-39, >50K
50-65, Private, Masters, Prof-specialty, White, Male,40-59, <=50K
35-49, Private, Some-college, Exec-managerial, White, Male,40-59, <=50K
35-49, Private, 7th-8th, Craft-repair, White, Male,40-59, <=50K
17-34, Private, Some-college, Machine-op-inspct, White, Male,40-59, >50K
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
35-49, Private, HS-grad, Other-service, White, Male,60-79, >50K
35-49, Private, Prof-school, Sales, White, Male,40-59, >50K
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
17-34, Private, 9th, Craft-repair, White, Male,40-59, <=50K
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
35-49, State-gov, 11th, Craft-repair, White, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
17-34, Self-emp-not-inc, HS-grad, Transport-moving, White, Male,60-79, <=50K
65+, Private, 7th-8th, Handlers-cleaners, White, Male,0-19, <=50K
50-65, Private, 9th, Other-service, White, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
50-65, Local-gov, HS-grad, Protective-serv, White, Male,40-59, <=50K
17-34, Private, Some-college, Machine-op-inspct, White, Male,40-59, <=50K
35-49, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
35-49, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K
35-49, Private, Some-college, Machine-op-inspct, White, Male,40-59, >50K
65+, Private, HS-grad, Exec-managerial, White, Male,40-59, >50K
35-49, State-gov, Bachelors, Prof-specialty, White, Male,40-59, <=50K
17-34, Local-gov, Some-college, Protective-serv, White, Male,40-59, <=50K
50-65, Private, Assoc-voc, Craft-repair, White, Male,60-79, <=50K
50-65, Private, Some-college, Sales, White, Male,40-59, <=50K
50-65, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K
17-34, Private, Bachelors, Tech-support, White, Male,40-59, <=50K
17-34, Self-emp-not-inc, HS-grad, Farming-fishing, White, Male,60-79, <=50K
50-65, Private, HS-grad, Protective-serv, White, Male,40-59, <=50K
35-49, Self-emp-not-inc, Bachelors, Farming-fishing, White, Male,80+, <=50K
35-49, Private, Some-college, Tech-support, White, Male,40-59, >50K
35-49, Private, Bachelors, Adm-clerical, White, Male,40-59, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
50-65, Private, HS-grad, Transport-moving, White, Male,60-79, <=50K
50-65, Self-emp-not-inc, Some-college, Farming-fishing, White, Male,40-59, <=50K
17-34, Private, Some-college, Machine-op-inspct, White, Male,20-39, <=50K
17-34, Private, HS-grad, Transport-moving, White, Male,20-39, <=50K
50-65, State-gov, Bachelors, Exec-managerial, White, Male,40-59, >50K
35-49, Self-emp-not-inc, 5th-6th, Transport-moving, White, Male,20-39, <=50K
35-49, Self-emp-not-inc, Assoc-voc, Protective-serv, White, Male,0-19, <=50K
50-65, Local-gov, Bachelors, Adm-clerical, White, Male,40-59, >50K
50-65, Local-gov, Some-college, Craft-repair, White, Male,40-59, <=50K
50-65, Local-gov, HS-grad, Protective-serv, White, Male,40-59, >50K
50-65, Private, Bachelors, Sales, White, Male,40-59, >50K
50-65, Private, Masters, Exec-managerial, White, Male,40-59, >50K
50-65, Private, HS-grad, Prof-specialty, White, Male,40-59, >50K
50-65, Self-emp-inc, HS-grad, Craft-repair, White, Male,40-59, >50K
50-65, Self-emp-not-inc, 10th, Craft-repair, White, Male,40-59, <=50K
17-34, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K
35-49, Private, 10th, Craft-repair, White, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
35-49, Private, Assoc-voc, Adm-clerical, White, Male,40-59, >50K
17-34, Private, Some-college, Craft-repair, White, Male,40-59, <=50K
17-34, Private, Some-college, Sales, White, Male,40-59, >50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
35-49, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
35-49, Self-emp-not-inc, HS-grad, Exec-managerial, White, Male,20-39, >50K
17-34, Local-gov, Bachelors, Prof-specialty, White, Male,40-59, >50K
35-49, Local-gov, Masters, Prof-specialty, White, Male,20-39, >50K
35-49, Private, Some-college, Sales, White, Male,60-79, >50K
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
50-65, Local-gov, HS-grad, Exec-managerial, White, Male,40-59, >50K
50-65, Local-gov, Some-college, Exec-managerial, White, Male,40-59, >50K
35-49, Federal-gov, Masters, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, >50K
35-49, Self-emp-not-inc, HS-grad, Craft-repair, White, Male,60-79, >50K
35-49, Federal-gov, Bachelors, Prof-specialty, White, Male,20-39, >50K
35-49, Local-gov, Masters, Prof-specialty, White, Male,40-59, >50K
35-49, Self-emp-inc, Bachelors, Exec-managerial, White, Male,40-59, >50K
35-49, Self-emp-not-inc, Prof-school, Exec-managerial, White, Male,40-59, >50K
65+, Self-emp-inc, Bachelors, Exec-managerial, White, Male,40-59, >50K
35-49, Private, Bachelors, Exec-managerial, White, Male,20-39, >50K
50-65, Local-gov, Assoc-acdm, Protective-serv, White, Male,40-59, >50K
17-34, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Some-college, Sales, White, Male,40-59, >50K
50-65, Private, Masters, Exec-managerial, White, Male,40-59, >50K
50-65, Private, Bachelors, Craft-repair, White, Male,40-59, >50K
50-65, Private, Some-college, Handlers-cleaners, White, Male,40-59, <=50K
50-65, Private, HS-grad, Machine-op-inspct, White, Male,40-59, >50K
50-65, State-gov, Some-college, Farming-fishing, White, Male,40-59, <=50K
50-65, State-gov, 10th, Transport-moving, White, Male,40-59, >50K
35-49, Private, Bachelors, Sales, White, Male,40-59, <=50K
17-34, State-gov, Some-college, Protective-serv, White, Male,40-59, <=50K
17-34, Self-emp-inc, HS-grad, Exec-managerial, White, Male,40-59, >50K
17-34, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K
65+, Local-gov, HS-grad, Other-service, White, Male,40-59, <=50K
17-34, Private, HS-grad, Sales, White, Male,40-59, >50K
17-34, Private, 11th, Craft-repair, White, Male,40-59, <=50K
50-65, Private, Some-college, Transport-moving, White, Male,40-59, <=50K
50-65, Private, HS-grad, Tech-support, White, Male,40-59, >50K
50-65, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
50-65, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
17-34, Private, Assoc-voc, Sales, White, Male,40-59, <=50K
35-49, Local-gov, Masters, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
35-49, Private, Some-college, Machine-op-inspct, White, Male,40-59, <=50K
35-49, Self-emp-inc, HS-grad, Exec-managerial, White, Male,60-79, <=50K
35-49, Self-emp-not-inc, HS-grad, Transport-moving, White, Male,40-59, <=50K
35-49, Private, Some-college, Adm-clerical, White, Male,40-59, >50K
35-49, Private, Some-college, Handlers-cleaners, White, Male,40-59, >50K
35-49, Private, HS-grad, Prof-specialty, White, Male,40-59, >50K
35-49, Self-emp-not-inc, Assoc-acdm, Exec-managerial, White, Male,60-79, <=50K
17-34, Private, HS-grad, Transport-moving, White, Male,40-59, <=50K
17-34, Private, HS-grad, Exec-managerial, White, Male,40-59, <=50K
17-34, Private, HS-grad, Transport-moving, White, Male,40-59, >50K
17-34, Self-emp-inc, Masters, Sales, White, Male,60-79, >50K
50-65, Private, Prof-school, Prof-specialty, White, Male,60-79, >50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
50-65, Private, 7th-8th, Protective-serv, White, Male,40-59, <=50K
50-65, Private, Masters, Prof-specialty, White, Male,40-59, >50K
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
35-49, Private, Some-college, Craft-repair, White, Male,60-79, >50K
35-49, Private, Bachelors, Transport-moving, White, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, White, Male,60-79, >50K
35-49, Private, HS-grad, Transport-moving, White, Male,40-59, >50K
35-49, Private, Masters, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Bachelors, Sales, White, Male,40-59, >50K
35-49, Private, HS-grad, Machine-op-inspct, White, Male,40-59, >50K
35-49, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
35-49, Private, HS-grad, Adm-clerical, White, Male,40-59, >50K
50-65, Federal-gov, HS-grad, Adm-clerical, White, Male,40-59, >50K
35-49, Private, Assoc-voc, Adm-clerical, White, Male,40-59, <=50K
35-49, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
35-49, Private, Assoc-voc, Craft-repair, White, Male,40-59, <=50K
35-49, Self-emp-not-inc, Assoc-acdm, Farming-fishing, White, Male,40-59, <=50K
35-49, Private, Some-college, Prof-specialty, White, Male,40-59, <=50K
50-65, Private, Assoc-voc, Tech-support, White, Male,40-59, >50K
50-65, Private, Some-college, Tech-support, White, Male,40-59, >50K
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
17-34, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K
17-34, Local-gov, Some-college, Protective-serv, White, Male,40-59, <=50K
50-65, Private, 9th, Transport-moving, White, Male,40-59, <=50K
17-34, Private, Bachelors, Sales, White, Male,40-59, >50K
17-34, Local-gov, Bachelors, Protective-serv, White, Male,60-79, >50K
17-34, Private, Some-college, Exec-managerial, White, Male,60-79, >50K
50-65, Private, Bachelors, Tech-support, White, Male,40-59, >50K
17-34, Self-emp-not-inc, Some-college, Craft-repair, White, Male,20-39, <=50K
17-34, Private, Some-college, Sales, White, Male,40-59, >50K
17-34, Private, Bachelors, Adm-clerical, White, Male,40-59, >50K
17-34, Private, Some-college, Prof-specialty, White, Male,40-59, >50K
65+, Self-emp-not-inc, Bachelors, Farming-fishing, White, Male,20-39, <=50K
17-34, Private, 11th, Machine-op-inspct, White, Male,60-79, <=50K
35-49, Federal-gov, Bachelors, Handlers-cleaners, White, Male,40-59, <=50K
35-49, Local-gov, Assoc-voc, Exec-managerial, White, Male,40-59, <=50K
35-49, Private, HS-grad, Handlers-cleaners, White, Male,40-59, <=50K
35-49, Self-emp-not-inc, 9th, Craft-repair, White, Male,40-59, >50K
65+, Self-emp-not-inc, Bachelors, Craft-repair, White, Male,0-19, >50K
17-34, Private, HS-grad, Machine-op-inspct, White, Male,40-59, <=50K
17-34, Private, Some-college, Craft-repair, White, Male,40-59, >50K
17-34, Self-emp-not-inc, Some-college, Sales, White, Male,40-59, <=50K
50-65, Federal-gov, HS-grad, Adm-clerical, White, Male,40-59, >50K
50-65, Private, HS-grad, Exec-managerial, White, Male,40-59, >50K
50-65, Private, HS-grad, Exec-managerial, White, Male,40-59, >50K
35-49, Self-emp-inc, Bachelors, Sales, White, Male,60-79, >50K
17-34, Private, HS-grad, Sales, White, Male,40-59, >50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
50-65, Private, HS-grad, Exec-managerial, White, Male,40-59, <=50K
50-65, Private, Bachelors, Prof-specialty, White, Male,40-59, <=50K
17-34, Private, HS-grad, Sales, White, Male,40-59, <=50K
35-49, Private, HS-grad, Adm-clerical, White, Male,40-59, >50K
35-49, Private, HS-grad, Transport-moving, White, Male,40-59, >50K
35-49, Private, Bachelors, Craft-repair, White, Male,40-59, <=50K
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K
35-49, Private, Some-college, Sales, White, Male,60-79, >50K
35-49, Private, HS-grad, Machine-op-inspct, White, Male,40-59, >50K
35-49, Private, Assoc-acdm, Craft-repair, White, Male,40-59, >50K
35-49, Private, Masters, Prof-specialty, White, Male,40-59, >50K
35-49, Self-emp-not-inc, 7th-8th, Exec-managerial, White, Male,60-79, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
50-65, Private, HS-grad, Prof-specialty, White, Male,40-59, >50K
50-65, Self-emp-inc, Masters, Prof-specialty, White, Male,40-59, >50K
50-65, Federal-gov, Bachelors, Prof-specialty, White, Male,40-59, >50K
50-65, Private, Assoc-acdm, Machine-op-inspct, White, Male,40-59, >50K
50-65, State-gov, Some-college, Sales, White, Male,40-59, >50K
35-49, Federal-gov, Some-college, Prof-specialty, White, Male,40-59, >50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, >50K
35-49, Private, HS-grad, Exec-managerial, White, Male,60-79, <=50K
35-49, Private, Some-college, Craft-repair, White, Male,40-59, >50K
35-49, Private, Assoc-voc, Craft-repair, White, Male,40-59, <=50K
35-49, Private, Assoc-voc, Craft-repair, White, Male,40-59, >50K
35-49, Private, 11th, Craft-repair, White, Male,40-59, >50K
35-49, Private, Bachelors, Prof-specialty, White, Male,60-79, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,40-59, >50K
35-49, Private, Bachelors, Adm-clerical, White, Male,20-39, >50K
35-49, Private, HS-grad, Craft-repair, White, Male,60-79, >50K
35-49, Private, Masters, Exec-managerial, White, Male,40-59, >50K
35-49, Self-emp-inc, Prof-school, Prof-specialty, White, Male,60-79, >50K
65+, Self-emp-inc, Some-college, Sales, White, Male,0-19, <=50K
35-49, Self-emp-not-inc, Some-college, Exec-managerial, White, Male,40-59, <=50K
17-34, State-gov, HS-grad, Tech-support, White, Male,40-59, <=50K
17-34, Local-gov, HS-grad, Protective-serv, White, Male,40-59, <=50K
17-34, Private, Bachelors, Sales, White, Male,40-59, >50K
17-34, Private, Some-college, Handlers-cleaners, White, Male,40-59, <=50K
17-34, Private, HS-grad, Craft-repair, White, Male,60-79, <=50K
35-49, Private, Bachelors, Transport-moving, White, Male,40-59, >50K
17-34, Private, Bachelors, Prof-specialty, White, Male,40-59, <=50K
35-49, Private, Masters, Prof-specialty, White, Male,40-59, >50K
35-49, Self-emp-not-inc, Bachelors, Exec-managerial, White, Male,60-79, <=50K
50-65, Private, Bachelors, Sales, White, Male,20-39, <=50K
50-65, Self-emp-not-inc, Some-college, Craft-repair, White, Male,40-59, <=50K
17-34, Federal-gov, HS-grad, Tech-support, White, Male,40-59, >50K
35-49, Private, HS-grad, Handlers-cleaners, White, Male,40-59, >50K
35-49, Private, HS-grad, Transport-moving, White, Male,60-79, >50K
65+, Self-emp-not-inc, Bachelors, Prof-specialty, White, Male,40-59, <=50K
50-65, Private, Bachelors, Exec-managerial, White, Male,40-59, >50K
50-65, Self-emp-inc, Masters, Sales, White, Male,60-79, >50K
50-65, Private, HS-grad, Craft-repair, White, Male,40-59, <=50K
17-34, Local-gov, Assoc-voc, Tech-support, White, Male,40-59, <=50K
17-34, State-gov, Bachelors, Exec-managerial, White, Male,40-59, >50K
17-34, Private, Masters, Prof-specialty, White, Male,40-59, >50K
50-65, Federal-gov, Bachelors, Exec-managerial, White, Male,40-59, >50K
17-34, Private, Some-college, Craft-repair, White, Male,60-79, >50K
65+, Private, 10th, Other-service, White, Male,0-19, <=50K
17-34, Private, 10th, Machine-op-inspct, White, Male,40-59, <=50K
35-49, Private, 10th, Handlers-cleaners, White, Male,40-59, <=50K
35-49, Private, Some-college, Tech-support, White, Male,40-59, >50K
50-65, Private, Bachelors, Prof-specialty, White, Male,40-59, >50K
